Run,manufacturer_short,manufacturer,batch,replicate,purification,variant,method,Library Name,fastq_url
SRR14416340,IDT,Integrated DNA Technologies,1,1,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b1_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/040/SRR14416340/SRR14416340.fastq.gz
SRR14416339,IDT,Integrated DNA Technologies,1,2,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b1_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/039/SRR14416339/SRR14416339.fastq.gz
SRR14416338,IDT,Integrated DNA Technologies,1,3,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b1_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/038/SRR14416338/SRR14416338.fastq.gz
SRR14416337,IDT,Integrated DNA Technologies,2,1,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b2_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/037/SRR14416337/SRR14416337.fastq.gz
SRR14416336,IDT,Integrated DNA Technologies,2,2,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b2_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/036/SRR14416336/SRR14416336.fastq.gz
SRR14416334,IDT,Integrated DNA Technologies,2,3,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b2_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/034/SRR14416334/SRR14416334.fastq.gz
SRR14416333,IDT,Integrated DNA Technologies,3,1,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b3_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/033/SRR14416333/SRR14416333.fastq.gz
SRR14416332,IDT,Integrated DNA Technologies,3,2,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b3_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/032/SRR14416332/SRR14416332.fastq.gz
SRR14416331,IDT,Integrated DNA Technologies,3,3,Desalted,Sequence variant 1,column_phosphoramidite,IDT_fwd_desalted_b3_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/031/SRR14416331/SRR14416331.fastq.gz
SRR14416386,Sigma,Sigma-Aldrich,1,1,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b1_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/086/SRR14416386/SRR14416386.fastq.gz
SRR14416385,Sigma,Sigma-Aldrich,1,2,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b1_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/085/SRR14416385/SRR14416385.fastq.gz
SRR14416384,Sigma,Sigma-Aldrich,1,3,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b1_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/084/SRR14416384/SRR14416384.fastq.gz
SRR14416383,Sigma,Sigma-Aldrich,2,1,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b2_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/083/SRR14416383/SRR14416383.fastq.gz
SRR14416382,Sigma,Sigma-Aldrich,2,2,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b2_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/082/SRR14416382/SRR14416382.fastq.gz
SRR14416381,Sigma,Sigma-Aldrich,2,3,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b2_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/081/SRR14416381/SRR14416381.fastq.gz
SRR14416380,Sigma,Sigma-Aldrich,3,1,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b3_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/080/SRR14416380/SRR14416380.fastq.gz
SRR14416379,Sigma,Sigma-Aldrich,3,2,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b3_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/079/SRR14416379/SRR14416379.fastq.gz
SRR14416378,Sigma,Sigma-Aldrich,3,3,Desalted,Sequence variant 1,column_phosphoramidite,SA_fwd_desalted_b3_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/078/SRR14416378/SRR14416378.fastq.gz
SRR14416410,Eurofins,Eurofins Genomics,1,1,Desalted,Sequence variant 1,column_phosphoramidite,EF_fwd_desalted_b1_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/010/SRR14416410/SRR14416410.fastq.gz
SRR14416399,Eurofins,Eurofins Genomics,1,2,Desalted,Sequence variant 1,column_phosphoramidite,EF_fwd_desalted_b1_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/099/SRR14416399/SRR14416399.fastq.gz
SRR14416388,Eurofins,Eurofins Genomics,1,3,Desalted,Sequence variant 1,column_phosphoramidite,EF_fwd_desalted_b1_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/088/SRR14416388/SRR14416388.fastq.gz
SRR14416417,BioSearch,BioSearch Technologies,1,1,Desalted,Sequence variant 1,column_phosphoramidite,BS_fwd_desalted_b1_1,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/017/SRR14416417/SRR14416417.fastq.gz
SRR14416416,BioSearch,BioSearch Technologies,1,2,Desalted,Sequence variant 1,column_phosphoramidite,BS_fwd_desalted_b1_2,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/016/SRR14416416/SRR14416416.fastq.gz
SRR14416335,BioSearch,BioSearch Technologies,1,3,Desalted,Sequence variant 1,column_phosphoramidite,BS_fwd_desalted_b1_3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR144/035/SRR14416335/SRR14416335.fastq.gz
