batch_id	method_class	capping	activator	oxidizer	deblock	polymerase	noncanonical	replicate
DRR357663	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Q5	canonical	1
DRR357664	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Q5	canonical	2
DRR357665	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Q5	canonical	3
DRR357666	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Phusion	canonical	1
DRR357667	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Phusion	canonical	2
DRR357668	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	Phusion	canonical	3
DRR357669	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	ExTaq	canonical	1
DRR357670	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	ExTaq	canonical	2
DRR357671	column_phosphoramidite	Ac2O_standard	Tet	I2	TCA	ExTaq	canonical	3
DRR357672	column_phosphoramidite	Ac2O_standard	DCI	I2	TCA	Q5	canonical	1
DRR357673	column_phosphoramidite	Ac2O_standard	DCI	I2	TCA	Q5	canonical	2
DRR357674	column_phosphoramidite	Ac2O_standard	DCI	I2	TCA	Q5	canonical	3
DRR357675	column_phosphoramidite	Ac2O_standard	BTT	I2	TCA	Q5	canonical	1
DRR357676	column_phosphoramidite	Ac2O_standard	BTT	I2	TCA	Q5	canonical	2
DRR357677	column_phosphoramidite	Ac2O_standard	BTT	I2	TCA	Q5	canonical	3
DRR357678	column_phosphoramidite	Ac2O_lutidine	BTT	I2	TCA	Q5	canonical	1
DRR357679	column_phosphoramidite	Ac2O_lutidine	BTT	I2	TCA	Q5	canonical	2
DRR357680	column_phosphoramidite	Ac2O_lutidine	BTT	I2	TCA	Q5	canonical	3
DRR357681	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	canonical	1
DRR357682	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	canonical	2
DRR357683	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	canonical	3
DRR357684	column_phosphoramidite	Ac2O_standard	Tet	CSO6m	TCA	Q5	canonical	1
DRR357685	column_phosphoramidite	Ac2O_standard	Tet	CSO6m	TCA	Q5	canonical	2
DRR357686	column_phosphoramidite	Ac2O_standard	Tet	CSO6m	TCA	Q5	canonical	3
DRR357687	column_phosphoramidite	Ac2O_standard	Tet	I2	DCA	Q5	canonical	1
DRR357688	column_phosphoramidite	Ac2O_standard	Tet	I2	DCA	Q5	canonical	2
DRR357689	column_phosphoramidite	Ac2O_standard	Tet	I2	DCA	Q5	canonical	3
DRR357690	column_phosphoramidite	Ac2O_standard	Tet	I2	TCAx2	Q5	canonical	1
DRR357691	column_phosphoramidite	Ac2O_standard	Tet	I2	TCAx2	Q5	canonical	2
DRR357692	column_phosphoramidite	Ac2O_standard	Tet	I2	TCAx2	Q5	canonical	3
DRR357693	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	7-deaza-dG	1
DRR357694	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	7-deaza-dG	2
DRR357695	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	8-aza-7-deaza-dG	1
DRR357696	column_phosphoramidite	Pac2O	BTT	I2	TCA	Q5	8-aza-7-deaza-dG	2
