batch_id,route_class,study,sublabel,umi_clean,n_molecules,aligned_bases,del_frac,ins_frac,sub_frac,log_total_err,sub_GtoA,sub_GtoT,sub_CtoT,sub_TtoC,sub_AtoG,sub_other,pos5p_slope,trunc_n1_frac,trunc_decay,homopolymer_enrich,gc_effect,intra_corr
DRR357663,column_phosphoramidite,masaki,Ac2O_standard,True,930651,44522200,0.555664,0.209519,0.234816,-2.48404,0.522829,0.102251,0.161992,0.0670885,0.0465916,0,-0.0136756,0.829495,0.108483,1,0,0.288418
DRR357664,column_phosphoramidite,masaki,Ac2O_standard,True,960680,45959936,0.542887,0.224348,0.232765,-2.48992,0.520073,0.100422,0.181753,0.0668034,0.046875,0,-0.00172388,0.830814,0.108116,1,0,0.287443
DRR357665,column_phosphoramidite,masaki,Ac2O_standard,True,890316,42608473,0.570806,0.199498,0.229696,-2.53348,0.426727,0.154225,0.149304,0.082679,0.0555265,0,-0.0312785,0.840799,0.102396,1,0,0.295331
DRR357666,column_phosphoramidite,masaki,Ac2O_standard,True,314938,15062128,0.55431,0.213426,0.232265,-2.45164,0.519327,0.105612,0.155345,0.0694647,0.0483584,0,-0.0154513,0.823922,0.112096,1,0,0.317091
DRR357667,column_phosphoramidite,masaki,Ac2O_standard,True,424608,20323233,0.537101,0.212402,0.250497,-2.54212,0.507494,0.0858257,0.175074,0.0683731,0.0572172,0,0.00124199,0.85745,0.0851137,1,0,0.149512
DRR357668,column_phosphoramidite,masaki,Ac2O_standard,True,403904,19328282,0.573309,0.198651,0.22804,-2.52189,0.420282,0.155663,0.155814,0.0820946,0.0602128,0,-0.0268243,0.837303,0.104823,1,0,0.305241
DRR357669,column_phosphoramidite,masaki,Ac2O_standard,True,777399,37198560,0.537859,0.191082,0.271059,-2.48964,0.473404,0.0151279,0.318971,0.0553667,0.0421681,0,-0.0168798,0.830959,0.108026,1,0,0.159344
DRR357670,column_phosphoramidite,masaki,Ac2O_standard,True,877070,41963794,0.530231,0.199815,0.269954,-2.48251,0.469178,0.0212629,0.32688,0.0494704,0.0411851,0,-0.0113984,0.830949,0.107487,1,0,0.211598
DRR357671,column_phosphoramidite,masaki,Ac2O_standard,True,819104,39204354,0.560965,0.189322,0.249713,-2.53862,0.398849,0.0198418,0.35048,0.0664807,0.0490397,0,-0.037664,0.83938,0.103667,1,0,0.201656
DRR357672,column_phosphoramidite,masaki,Ac2O_standard,True,771113,36886321,0.550282,0.22809,0.221628,-2.49695,0.539909,0.084236,0.14289,0.0735961,0.0393716,0,-0.0162616,0.817516,0.105544,1,0,0.572825
DRR357673,column_phosphoramidite,masaki,Ac2O_standard,True,1132351,54172906,0.551865,0.190153,0.257981,-2.48151,0.521023,0.174621,0.105623,0.059349,0.0324609,0,-0.028777,0.810715,0.111665,1,0,0.462011
DRR357674,column_phosphoramidite,masaki,Ac2O_standard,True,706684,33802898,0.549227,0.199727,0.251046,-2.45777,0.572187,0.0949757,0.106235,0.0715783,0.0442927,0,-0.00606295,0.824644,0.108372,1,0,0.406422
DRR357675,column_phosphoramidite,masaki,Ac2O_standard,True,733046,35037315,0.564842,0.226508,0.208651,-2.40031,0.546539,0.11842,0.15301,0.0631297,0.0358973,0,-0.00551552,0.829555,0.11093,1,0,0.478628
DRR357676,column_phosphoramidite,masaki,Ac2O_standard,True,614394,29394677,0.573962,0.231777,0.19426,-2.50682,0.502363,0.0725135,0.209552,0.0715572,0.0450045,0,0.00716943,0.831183,0.104326,1,0,0.411311
DRR357677,column_phosphoramidite,masaki,Ac2O_standard,True,690152,33020795,0.564183,0.226602,0.209216,-2.50614,0.484726,0.11337,0.186769,0.0645311,0.0380687,0,0.00824274,0.830966,0.102221,1,0,0.466395
DRR357678,column_phosphoramidite,masaki,Ac2O_lutidine,True,782577,37409231,0.561304,0.223219,0.215476,-2.415,0.519338,0.104481,0.149156,0.0749976,0.0436115,0,0.00115574,0.808852,0.11614,1,0,0.614404
DRR357679,column_phosphoramidite,masaki,Ac2O_lutidine,True,692748,33139789,0.582126,0.231835,0.186039,-2.51672,0.397122,0.149094,0.201652,0.088806,0.0518657,0,-0.0144079,0.810973,0.112133,1,0,0.4985
DRR357680,column_phosphoramidite,masaki,Ac2O_lutidine,True,739461,35351987,0.566849,0.236387,0.196763,-2.443,0.465274,0.123634,0.154493,0.0820509,0.042979,0,-0.0206499,0.787442,0.125051,1,0,0.692074
DRR357681,column_phosphoramidite,masaki,Pac2O,True,397873,19047126,0.27387,0.158298,0.567832,-2.29955,0.875604,0.0111496,0.01443,0.0578121,0.0104493,0,-0.0184544,0.816723,0.116179,1,0,-0.0738758
DRR357682,column_phosphoramidite,masaki,Pac2O,True,289556,13871397,0.186632,0.0835997,0.729769,-2.24709,0.931074,0.00957981,0.0106791,0.0295421,0.006055,0,-0.0217679,0.825304,0.112901,1,0,-0.377904
DRR357683,column_phosphoramidite,masaki,Pac2O,True,707101,33874947,0.132298,0.0651962,0.802506,-2.1296,0.927068,0.0191811,0.011705,0.02223,0.00429331,0,-0.0152859,0.837136,0.100595,1,0,-0.452543
DRR357684,column_phosphoramidite,masaki,Ac2O_standard,True,865301,41414430,0.378956,0.257311,0.363733,-2.34329,0.698197,0.0713533,0.0469884,0.0803091,0.0249649,0,0.0109506,0.883174,0.102715,1,0,-0.225054
DRR357685,column_phosphoramidite,masaki,Ac2O_standard,True,953822,45669035,0.398055,0.207898,0.394046,-2.41264,0.782373,0.0395476,0.0428241,0.0571227,0.0253496,0,-0.0041772,0.894152,0.0882867,1,0,-0.264922
DRR357686,column_phosphoramidite,masaki,Ac2O_standard,True,833499,39912234,0.39191,0.223835,0.384256,-2.43771,0.705063,0.0876952,0.0506806,0.0639001,0.0251527,0,-0.0223399,0.893606,0.0855087,1,0,-0.233624
DRR357687,column_phosphoramidite,masaki,Ac2O_standard,True,610092,29193810,0.591508,0.172991,0.235501,-2.4923,0.391957,0.0734297,0.130185,0.0841844,0.062178,0,-0.0272043,0.848865,0.113739,1,0,-0.00792269
DRR357688,column_phosphoramidite,masaki,Ac2O_standard,True,634225,30351824,0.583794,0.17324,0.242966,-2.50361,0.417218,0.0900246,0.104121,0.0863493,0.0620919,0,-0.0240149,0.850622,0.107109,1,0,-0.0247647
DRR357689,column_phosphoramidite,masaki,Ac2O_standard,True,713535,34140081,0.575221,0.183898,0.240881,-2.47898,0.486316,0.0727606,0.104891,0.0755083,0.0612933,0,-0.0232791,0.850891,0.110769,1,0,0.0371648
DRR357690,column_phosphoramidite,masaki,Ac2O_standard,True,934090,44647634,0.569664,0.216165,0.214172,-2.40398,0.530739,0.114233,0.126667,0.0669919,0.0461282,0,-0.0183838,0.784118,0.128799,1,0,0.68832
DRR357691,column_phosphoramidite,masaki,Ac2O_standard,True,615873,29439493,0.576595,0.223078,0.200327,-2.4273,0.472877,0.107946,0.0996916,0.0887609,0.0678066,0,-0.0224164,0.802194,0.12208,1,0,0.586668
DRR357692,column_phosphoramidite,masaki,Ac2O_standard,True,521461,24923227,0.583099,0.224582,0.192319,-2.41409,0.48736,0.0845558,0.0953283,0.0810372,0.0594922,0,-0.022913,0.798574,0.126701,1,0,0.627367
DRR357693,column_phosphoramidite,masaki,Pac2O/7-deaza-dG,True,671665,32189683,0.172187,0.0856194,0.742193,-2.29441,0.898706,0.00566411,0.0156567,0.0592794,0.00832715,0,-0.0194468,0.842018,0.105056,1,0,-0.503284
DRR357694,column_phosphoramidite,masaki,Pac2O/7-deaza-dG,True,628700,30127497,0.145985,0.064084,0.789931,-2.1996,0.927191,0.00736542,0.011963,0.0325156,0.00522965,0,-0.00843545,0.829887,0.104406,1,0,-0.493028
DRR357695,column_phosphoramidite,masaki,Pac2O/8-aza-7-deaza-dG,True,725494,34769566,0.215332,0.0929262,0.691742,-2.42763,0.917206,0.00509744,0.0174515,0.0367839,0.00877027,0,0.00826239,0.825893,0.103934,1,0,-0.286539
DRR357696,column_phosphoramidite,masaki,Pac2O/8-aza-7-deaza-dG,True,763816,36596360,0.14866,0.0676252,0.783714,-2.17992,0.932612,0.0078247,0.0121196,0.0308503,0.00476974,0,-0.0110841,0.830921,0.106283,1,0,-0.446804
SRR14416331,column_phosphoramidite,filges,IDT,True,7887,783462,0.717766,0.0883249,0.193909,-2.90058,0.120419,0.183246,0.225131,0.0732984,0.0575916,0,-0.0304316,0.734328,0.207317,1,0,5
SRR14416332,column_phosphoramidite,filges,IDT,True,7959,791907,0.805996,0.0776014,0.116402,-2.84406,0.128788,0.159091,0.439394,0.030303,0.0530303,0,-0.0193621,0.767857,0.0531561,1,0,3.966
SRR14416333,column_phosphoramidite,filges,IDT,True,9235,917089,0.762651,0.140413,0.0969351,-2.81535,0.220588,0.125,0.411765,0.0147059,0.0661765,0,-0.0219768,0.746696,0.0973451,1,0,3.30291
SRR14416334,column_phosphoramidite,filges,IDT,True,8624,858009,0.895935,0.0158537,0.0882114,-2.54256,0.0599078,0.580645,0.18894,0.0138249,0.00460829,0,-0.127427,0.728907,0.20019,1,0,-0.0786519
SRR14416335,column_phosphoramidite,filges,BioSearch,True,9597,949099,0.84248,0.0264064,0.131114,-2.33832,0.178634,0.204904,0.14711,0.0928196,0.0350263,0,-0.0355972,0.703385,0.202284,1,0,4.14445
SRR14416336,column_phosphoramidite,filges,IDT,True,7227,717230,0.848186,0.0201104,0.131703,-2.45151,0.0658683,0.371257,0.164671,0.0598802,0.0269461,0,-0.136568,0.666667,0.237179,1,0,2.9131
SRR14416337,column_phosphoramidite,filges,IDT,True,9467,936614,0.886679,0.00562852,0.107692,-2.54586,0.0905923,0.428571,0.160279,0.0348432,0.00696864,0,-0.163198,0.749208,0.19104,1,0,0.331141
SRR14416338,column_phosphoramidite,filges,IDT,True,27374,2707662,0.898938,0.0500483,0.0510134,-2.57208,0.175676,0.145946,0.32973,0.113514,0.0135135,0,-0.0316602,0.657143,0.106564,1,0,5
SRR14416339,column_phosphoramidite,filges,IDT,True,21170,2095786,0.873637,0.0626947,0.0636682,-2.61072,0.217125,0.143731,0.302752,0.192661,0.00917431,0,-0.0414531,0.653569,0.149693,1,0,5
SRR14416340,column_phosphoramidite,filges,IDT,True,32859,3258087,0.874651,0.0706413,0.0547072,-2.63611,0.177184,0.126214,0.308252,0.182039,0.00728155,0,-0.0401433,0.676838,0.116778,1,0,5
SRR14416378,column_phosphoramidite,filges,Sigma,True,10363,1032924,0.313618,0.480055,0.206327,-2.8515,0.236667,0.15,0.293333,0.123333,0.0133333,0,-0.036151,0.807018,0.147826,1,0,1.17678
SRR14416379,column_phosphoramidite,filges,Sigma,True,12975,1291073,0.335151,0.443233,0.221616,-2.80624,0.203579,0.136465,0.284116,0.100671,0.033557,0,-0.102205,0.828375,0.135359,1,0,3.76191
